,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
766,41-0000,Sales and Related Occupations,major,14462120,0.2,18.9,39320,0.2,8.5,9.3,12.34,21.52,36.7,17680,19350,25660,44760,76340,,,2015
809,43-0000,Office and Administrative Support Occupations,major,21846420,0.2,17.47,36330,0.1,9.54,12.08,15.96,21.35,27.86,19840,25130,33200,44410,57950,,,2015
922,45-0000,"Farming, Fishing, and Forestry Occupations",major,454230,1.1,12.67,26360,0.5,9.02,9.27,10.46,14.32,19.93,18770,19280,21760,29790,41460,,,2015
949,47-0000,Construction and Extraction Occupations,major,5477820,0.3,22.88,47580,0.2,12.05,15.22,20.33,28.48,37.87,25050,31650,42280,59240,78770,,,2015
1053,49-0000,"Installation, Maintenance, and Repair Occupations",major,5374150,0.2,22.11,45990,0.1,11.37,15.13,20.57,27.88,35.58,23650,31480,42790,57990,74010,,,2015
1129,51-0000,Production Occupations,major,9073290,0.3,17.41,36220,0.2,9.45,11.59,15.51,21.26,28.4,19660,24100,32250,44210,59080,,,2015
1297,53-0000,Transportation and Material Moving Occupations,major,9536610,0.3,16.9,35160,0.3,8.98,10.51,14.47,20.35,28.01,18670,21850,30090,42320,58260,,,2015
1,11-0000,Management Occupations,major,7090790,0.2,56.74,118020,0.1,22.76,32.99,48.46,70.72,#,47330,68630,100790,147090,#,,,2016
70,13-0000,Business and Financial Operations Occupations,major,7281190,0.2,36.09,75070,0.2,17.74,23.78,31.99,43.47,58.13,36910,49460,66530,90410,120910,,,2016
128,15-0000,Computer and Mathematical Occupations,major,4165140,0.4,42.25,87880,0.4,20.51,28.42,39.82,53.7,67.91,42650,59120,82830,111690,141250,,,2016
161,17-0000,Architecture and Engineering Occupations,major,2499050,0.6,40.53,84300,0.3,20.46,27.66,37.45,50.06,64.15,42550,57540,77900,104130,133440,,,2016
221,19-0000,"Life, Physical, and Social Science Occupations",major,1152840,0.7,35.06,72930,0.4,16.03,21.67,30.45,43.78,59.27,33350,45060,63340,91060,123280,,,2016
292,21-0000,Community and Social Service Occupations,major,2019250,0.4,22.69,47200,0.4,12.1,15.59,20.67,28.02,36.65,25170,32420,42990,58280,76220,,,2016
319,23-0000,Legal Occupations,major,1075520,0.5,50.95,105980,0.6,17.62,24.78,38.3,66.46,#,36650,51530,79650,138240,#,,,2016
